ROI net sum

Spectrum                                 Na   Mg    Al      Si    S    Cl     K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr    Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  8284 8872 11975 1025104 7917 19786 27623 1031201 3703  1261  2333 67233  3501 11260 7118 21671 10044 69873  1551
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 8517 9051 11906 1028460 8316 20317 27626 1032606 3826  1279  2993 68628  3847 11273 7427 21579  9747 69470  1532
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 8456 8908 11967 1025376 8181 19841 27507 1030080 4118  1704  2256 67770  4009 11061 7260 21794  9861 69531  1410
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 8409 8853 11817 1026739 7973 20177 27433 1031021 3886  1408  2602 67426  3277 11004 7149 22105 10353 69087  1542
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 8365 8882 11735 1026268 7791 20011 27300 1030714 3903  1288  2644 67899  3405 11569 8119 22249 10418 69641  1453
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 8436 8898 11808 1027246 8014 19968 27540 1030741 3904  1546  2336 67061  3628 11261 7724 22402  9700 69150  1295
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 8423 8859 12015 1025474 8211 20015 27246 1031714 3916  1376  2387 67553  2979 11235 7576 21794 10400 69560  1234
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 8426 8749 11947 1025852 7948 19878 27435 1030953 4078  1576  2625 67685  3061 10666 7394 21126 10206 70362  1348
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 8542 8875 11843 1026094 8277 19915 27775 1029947 3852  1624  2103 67347  3319 11335 7830 21372 10647 69389  1123
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 8587 9103 12013 1024574 8032 19802 27745 1027732 4041  1815  2810 67961  3238 11404 7186 22001  9735 68956  1429
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 8550 8826 11834 1027716 7903 19837 27402 1030492 4266  1813  2740 68360  3064 11393 7287 21589  9468 69011  1738
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  8384 8933 11877 1023943 8328 19992 27385 1029425 4185  1517  2352 67074  3056 11732 7566 21756  9662 69211  1576
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 8550 8704 11702 1026583 7960 19884 27969 1032310 4241  1687  2202 67380  3210 11358 7448 21841  9044 69661  1559
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 8545 8859 12295 1028987 8145 20341 27543 1033841 4395  1612  3277 67557  3763 11731 7658 22150  9684 69650  1701
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 8300 8961 11783 1028394 7916 19784 27643 1031047 4031  1524  2201 67308  3297 11052 7504 21632 10353 69690  1331
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 8420 8934 11976 1027043 8104 19988 27387 1030767 4254  1698  2714 67695  2820 11674 7259 21357  9890 69521  1800
