Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti     Fe    Sr     Rh
SRM_1831_300s_20x20det_1_19_0  10471 11356 15658 1676260  9649 45250 1857831 6556 119615 36666 129507
SRM_1831_300s_20x20det_1_19_1   9893 11094 15682 1672644  9976 44821 1856337 6413 118960 36108 128445
SRM_1831_300s_20x20det_1_19_10 10115 11104 15179 1673214  9691 45382 1857499 6431 119115 36187 128916
SRM_1831_300s_20x20det_1_19_11  9878 10938 15067 1677964  9701 45294 1861012 6399 119444 36262 128048
SRM_1831_300s_20x20det_1_19_12 10290 11214 15160 1677062 10173 45012 1859416 6373 118585 36697 128370
SRM_1831_300s_20x20det_1_19_13 10083 11266 15462 1679526  9889 45497 1863008 6723 119523 37521 128005
SRM_1831_300s_20x20det_1_19_14 10145 11096 15706 1674233  9510 45272 1861693 6366 120257 37910 128661
SRM_1831_300s_20x20det_1_19_15 10140 11129 15293 1670989  9461 45001 1851843 6560 118607 36886 128645
SRM_1831_300s_20x20det_1_19_16 10197 10988 15541 1676484  9950 44928 1858042 6653 118770 36736 129252
SRM_1831_300s_20x20det_1_19_17 10073 11462 15524 1674169 10005 45131 1856574 6519 118522 36265 127874
SRM_1831_300s_20x20det_1_19_18 10132 11286 15483 1679027  9552 45426 1863349 6674 119431 37914 129283
SRM_1831_300s_20x20det_1_19_19 10060 11116 15399 1678597  9870 44940 1865211 6474 119958 37094 128611
SRM_1831_300s_20x20det_1_19_2   9904 11359 15547 1674111  9610 44359 1858849 6242 118933 37695 128789
SRM_1831_300s_20x20det_1_19_3  10041 11430 15358 1670649  9747 45204 1855770 6702 119618 37266 128762
SRM_1831_300s_20x20det_1_19_4  10192 11309 15494 1672364  9430 44489 1858508 6555 118901 36209 128024
SRM_1831_300s_20x20det_1_19_5  10061 11277 15347 1678671  9733 45659 1862028 6892 119885 36740 127225
SRM_1831_300s_20x20det_1_19_6  10309 11447 15434 1672874  9747 44930 1858900 6543 119567 35909 128191
SRM_1831_300s_20x20det_1_19_7  10092 11363 15689 1673787  9499 44997 1858622 6812 119590 36767 128620
SRM_1831_300s_20x20det_1_19_8   9786 11263 15178 1672125 10164 45539 1857653 6609 119449 36638 128136
SRM_1831_300s_20x20det_1_19_9   9887 11407 15463 1676949  9806 44737 1862330 6226 118113 36735 128724
SRM_1831_300s_20x20det_1_1_0    9980 11339 15234 1673300  9931 45371 1866233 6515 119084 36249 129075
SRM_1831_300s_20x20det_1_1_1    9869 11407 15494 1676564  9718 45122 1865200 6759 119377 36948 129021
SRM_1831_300s_20x20det_1_1_10   9874 11138 15146 1673347  9861 45490 1862486 6430 119385 36424 127429
SRM_1831_300s_20x20det_1_1_11  10309 11172 15531 1674681  9802 45095 1862648 6410 119217 36955 128287
SRM_1831_300s_20x20det_1_1_12   9880 11432 15145 1672130  9664 45178 1862008 6284 119678 36333 128189
SRM_1831_300s_20x20det_1_1_13  10017 11224 15107 1675268  9784 44970 1863055 6914 119823 36409 127138
SRM_1831_300s_20x20det_1_1_14  10227 11151 15203 1674429  9805 44410 1861240 6635 118963 37570 128368
SRM_1831_300s_20x20det_1_1_15   9853 11112 15187 1674165  9698 45543 1862922 6706 119117 36712 129232
SRM_1831_300s_20x20det_1_1_16   9904 11163 15997 1674779  9656 45544 1863901 6911 120041 37245 127559
SRM_1831_300s_20x20det_1_1_17   9984 11087 15457 1672146  9705 45085 1856569 6484 119446 37184 129012
SRM_1831_300s_20x20det_1_1_18  10194 11161 15332 1672808  9574 45285 1861196 6319 119288 37309 127762
SRM_1831_300s_20x20det_1_1_19  10128 11284 15502 1671289  9775 45559 1860894 6855 119598 35785 128487
SRM_1831_300s_20x20det_1_1_2   10096 11343 15673 1679133  9652 45085 1862796 6777 119466 37154 127896
SRM_1831_300s_20x20det_1_1_3    9804 11338 15283 1673503  9516 44948 1862304 6251 119809 36653 128564
SRM_1831_300s_20x20det_1_1_4    9807 11341 15251 1675118  9421 45261 1865363 6872 120597 35933 128495
SRM_1831_300s_20x20det_1_1_5   10189 11401 15216 1673305  9710 45491 1861937 6450 120000 36935 129094
SRM_1831_300s_20x20det_1_1_6    9971 10984 15589 1676347  9693 45023 1860091 6644 119977 36989 128026
SRM_1831_300s_20x20det_1_1_7   10070 11234 15375 1671523  9504 45229 1861252 6655 119374 37619 128274
SRM_1831_300s_20x20det_1_1_8   10106 11234 15421 1673324  9634 45864 1863405 6553 118102 36778 127751
SRM_1831_300s_20x20det_1_1_9   10009 10906 14996 1672255  9664 45512 1861964 6590 119317 37213 128339
SRM_1831_300s_20x20det_1_2_0    9926 10996 15278 1674232  9842 45410 1865394 6519 119709 37325 128589
SRM_1831_300s_20x20det_1_2_1   10254 11068 15430 1674808  9656 45013 1863458 6703 118292 36390 129129
SRM_1831_300s_20x20det_1_2_10   9979 11229 15239 1673783  9901 44686 1863409 6881 119344 36571 128100
SRM_1831_300s_20x20det_1_2_11  10170 11454 15277 1668577  9778 45162 1859941 6551 118750 36745 128370
SRM_1831_300s_20x20det_1_2_12   9929 11101 15317 1673614  9701 45111 1860394 6500 118918 37204 126783
SRM_1831_300s_20x20det_1_2_13  10055 11300 15386 1675297  9699 45347 1864279 6494 120394 35907 129546
