ROI sum

Spectrum                                  Na    Mg    Al      Si     S     K      Ca    Ti     V    Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  10317 11240 15084 1079640 10780 33510 1090839 10497 12137 95183 62088 82216 58671 100048
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 10390 11235 15143 1083221 10842 33226 1091862 10585 12310 95652 62025 82526 58291  99968
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 10448 11243 14851 1082191 11045 33350 1093054 10600 12233 95406 61673 82400 58540  99295
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 10350 11108 14976 1081153 10923 33190 1092099 10632 12114 95204 61947 82708 58628  98654
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 10379 11152 15176 1082657 10998 33572 1091793 10517 12522 95731 61810 82873 58533  99406
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 10354 11370 15184 1080406 10984 33196 1089015 10505 12265 95720 62002 82159 58272  99375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 10516 11296 14829 1080936 11115 33241 1092801 10651 12093 96000 61972 82283 58047  99771
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 10254 11209 15171 1080424 11059 33251 1089336 10572 12143 95474 62087 82298 58637  99180
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 10505 11174 14910 1084517 10979 33365 1092208 10672 12301 96396 61896 82513 58188  99120
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 10290 11096 15076 1081231 10917 33666 1090935 10522 12158 95402 62052 82684 57942  99410
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 10259 11145 14763 1081591 10822 33190 1091951 10504 12019 95386 61845 82276 58364  99193
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  10341 11273 14983 1080874 10871 33492 1088781 10594 12211 95770 62145 82016 58319  99554
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 10537 11240 14841 1083172 10882 33245 1091116 10177 12310 95780 61742 82815 58242  99476
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 10488 11245 15038 1082392 11022 33129 1091651 10634 11967 96092 61768 82671 58492 100436
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 10456 11315 15185 1081668 10984 33598 1092044 10739 12099 96180 62291 82620 58191  99085
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 10640 11185 15066 1081430 11111 33187 1091025 10462 12179 95738 62254 82483 58489  99597
