Net counts

Spectrum                                 Na   Mg    Al      Si    S    Cl      K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr   Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  6941 8074 11324 1191670 6706  1017 171895 1336002 4613   484  1324 86836  1134 11207 5347 25514 8018 89264     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 6840 8021 11295 1190425 6690  1073 165706 1334719 4774   336  1552 86519  1749 10632 5138 25445 8083 89030     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 6940 7912 11167 1190749 6751  1416 171678 1333224 4755   392  1985 87507  1826 10036 5156 25637 7493 89862     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 7042 8114 11625 1190151 6710  1317 166614 1333678 4735   422  1765 87306  1021 10233 5234 25155 7573 89279     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 6996 8037 11591 1186761 6552  1157 165671 1331047 4804   575  1915 87317  1739 10522 4101 24368 8046 87978     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 6846 8040 11423 1188467 6851  1272 171356 1332337 4630   422  1431 86950   834 10332 5150 25171 7564 89612     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 7178 8169 11614 1190143 6697  1153 175259 1332645 4645     0  1548 86980  1825 10957 4754 25190 7538 89315     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 6920 8164 11297 1191268 6615  1107 175558 1332744 4475   275  1436 87030  1832 10517 4995 25256 7527 89490     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 7162 8203 11377 1191709 6645  1280 169056 1334942 5010   444  1658 86183  1668 10651 5371 25761 7328 89208     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 6950 7908 10973 1191653 6558  1171 174417 1334903 4724   291  1397 87206  1616 10132 5013 24533 7485 88906     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 7129 8088 11380 1191217 6989   870 175037 1334520 4560   190  1548 86827  1947 10759 5019 25108 7079 89981     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  6942 8007 11311 1187343 6331  1077 174269 1332872 4612   279  1422 86410  1496 10840 5243 24780 7920 90013     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 7045 8047 11499 1191589 6549  1388 172003 1335282 4933   383  1882 86836  1500 10911 5073 25255 7370 90929     0
