ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72  9845 10648 13899 1028886 10492 23296 31384 1035296  9768 11471 20926 90791 38751 59353 69574 80641 55906  95524  9565
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73  9819 10701 13847 1028452 10339 23151 31298 1035042  9891 11406 20921 91359 38687 59796 70222 80205 55043  95664  9645
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74  9837 10639 13811 1029291 10423 23005 31483 1035075  9938 11613 20690 90677 38983 59289 70089 80812 55454  95928  9468
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75  9855 10635 14054 1027552 10603 23019 31101 1035889  9767 11459 20766 91221 38445 59411 69761 79997 55742  96102  9512
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76  9892 10587 14092 1028084 10476 22961 31337 1035204  9892 11485 20841 91121 38706 59094 69795 79723 55996  96305  9493
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77  9939 10617 13857 1028166 10672 22903 31584 1034078  9725 11759 20620 91108 38666 59624 70184 79793 55569  95600  9587
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 10007 10878 14077 1026717 10562 22908 31643 1031922  9744 11704 20805 91417 38613 59560 69631 80628 55648  95439  9568
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79  9961 10588 13875 1029822 10376 22866 31227 1034658  9977 11552 20557 91185 38327 59773 69695 80039 55370  95538  9714
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8   9792 10663 13829 1025884 10540 22909 31267 1033642  9928 11577 20879 91023 38751 59915 70004 80269 55581  95886  9607
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80  9963 10469 13752 1028708 10417 22912 31838 1036508 10042 11728 20762 91072 38387 59714 70155 80775 55632  96153  9559
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81  9957 10593 14248 1030923 10334 23228 31385 1038019 10132 11462 20972 90758 38741 59630 70059 80663 55461  96223  9663
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82  9738 10755 13866 1030552 10431 22854 31470 1035162  9883 11493 20646 91046 38630 59265 69807 79992 55898  95927  9510
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83  9846 10704 14008 1029114 10488 22982 31222 1034913  9892 11493 20735 91106 38506 60087 69882 80126 55743  96181  9670
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84  9722 10679 14041 1030295 10564 22915 31405 1035651  9901 11410 20685 91570 38297 59414 70064 80633 55607  96386  9603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 10102 10772 13939 1029255 10459 23134 31366 1034113  9912 11579 20812 91201 38706 59343 70291 80477 56070  95334  9637
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86  9939 10795 13955 1031031 10610 23223 31653 1035187  9885 11582 20465 90956 38600 59338 70096 80510 55483  95727  9501
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87  9881 10829 13894 1028960 10578 23179 31325 1036905  9941 11456 20669 91302 38828 59986 70351 80507 55427  96276  9641
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88  9937 10859 14125 1027576 10531 22761 31028 1036442  9841 11384 20658 91280 39068 59168 69469 80385 55962  95976  9543
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 10069 10642 14243 1031228 10349 23407 31075 1036380  9995 11504 20751 91144 38338 59379 69893 80602 55866  95960  9532
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9   9849 10482 13940 1025910 10507 22905 31035 1034737  9884 11554 21013 90618 38462 58985 69515 80235 55236  96144  9605
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90  9914 10855 14030 1028559 10565 23282 31317 1035183  9878 11538 20807 90682 38613 59617 70153 80281 55826  95802  9468
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91  9968 10698 13951 1027572 10647 22948 31766 1035671  9842 11278 20562 91356 38880 58940 70302 80417 55533  96151  9532
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 10047 10658 14179 1028797 10541 23124 31363 1035500  9635 11424 20508 90469 38265 59459 70487 80236 55669  95814  9648
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 10021 10498 14025 1028732 10652 23247 31211 1034982  9840 11592 20581 90710 38378 59428 69599 80093 55461  95531  9546
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94  9766 10654 13957 1028885 10698 22906 31300 1033986  9875 11556 21042 90876 38518 59425 69925 80293 55654  96298  9728
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95  9827 10493 14024 1027754 10330 23299 31656 1034874  9802 11616 20525 90567 38721 59301 70299 80417 55750  95799  9632
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96  9871 10757 13682 1027216 10474 23034 31491 1034559  9927 11329 20626 90970 38652 59071 69491 80196 55674  95679  9536
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97  9859 10881 14056 1029293 10576 23055 31604 1035301  9910 11389 20603 90929 38827 59280 69981 80664 55675  95603  9653
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98  9702 10690 13953 1028302 10464 23369 31482 1033062  9805 11390 20604 90533 38697 59606 69928 80005 55132  95561  9434
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99  9939 10507 13967 1027283 10507 23339 31353 1033321  9869 11367 20863 90470 38792 59945 70003 79776 55786  95486  9655
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  10350 11296 15237 1085189 10891 25176 32804 1093055 10396 12198 21893 95636 40342 61793 73746 82774 58903  99169  9921
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  10369 11021 15016 1080493 11124 25051 33045 1089191 10424 12174 21782 95953 39937 61481 72992 81939 58221  99625  9684
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 10405 11265 15072 1077853 11001 24965 33147 1089887 10467 12065 21790 95345 40132 61505 73284 81996 58544  99523  9772
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 10315 11194 15061 1078829 10984 24966 33595 1088008 10530 12137 21681 95476 39692 61501 73822 81907 58550  99433  9681
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 10357 11067 15302 1078419 10747 24618 33249 1089189 10580 12224 21881 95722 39781 61729 73181 82344 58546  98929  9918
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 10252 11355 15046 1079526 10790 24643 33230 1086873 10514 12301 21751 96119 39822 61774 73382 82184 58166  99030  9697
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 10241 11325 14928 1079823 10958 24521 33017 1087750 10538 12315 21739 95476 39495 62035 74006 82266 58753  98762  9829
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 10617 11109 14987 1080998 10918 24712 33001 1090552 10650 12143 21569 95284 39948 61452 73305 82071 58004  99165  9702
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 10298 11229 14970 1081794 10980 24541 32888 1088287 10400 12372 21839 96224 40141 61643 73784 81675 58474  99264  9909
