Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti      V    Fe    Zn    Sr   Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 6381 6682 5810 1176074 5943 26824 1304449 4531     56 86707  3157 21733 6541 83025
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 6398 6547 5744 1171333 5854 26985 1303114 4648     65 86771  3301 21948 6643 81438
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 6383 6459 5715 1176777 6044 26619 1304844 4740    112 86182  3475 21293 6800 82322
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 6324 6704 6016 1176428 6177 27037 1305530 4541      0 86353  3122 21573 7634 82803
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 6202 6335 5574 1175756 5988 26467 1304853 4571    102 86444  3588 21505 7212 82774
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 6492 6547 5836 1174824 6066 27032 1304583 4628    235 86477  3433 21572 7370 82337
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 6314 6614 5791 1175999 5955 26484 1306580 4912    211 86779  3447 22684 7534 82842
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  6475 6769 5863 1177454 6202 26676 1308462 4576    294 86813  4143 21863 7133 82136
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 6284 6573 5731 1176382 6000 26660 1307261 4783     39 86108  3687 22297 7087 82208
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 6356 6420 5601 1176594 6177 26385 1305814 4703    197 87289  2940 22737 6517 82538
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 6369 6660 6030 1176039 6054 26954 1306241 4732    312 87274  2899 21723 6788 82473
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 6418 6515 6016 1172901 5938 26751 1303438 4743    349 87079  3421 21687 7138 80935
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 6353 6687 5960 1174496 6352 27168 1304935 4555    234 86878  3780 21745 6754 82427
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 6602 6716 6026 1175935 6090 26888 1305363 4573      0 86836  3993 21689 6789 82164
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 6387 6746 5717 1177217 6086 27033 1305326 4472      2 86735  3315 21770 6738 82042
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 6572 6628 5768 1177833 6023 26794 1307269 4888    174 86010  3380 21799 6594 82412
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 6438 6562 5600 1178042 5934 27136 1306916 4637      0 87101  3020 21725 6581 81986
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 6524 6579 5720 1176879 6392 27242 1307235 4537     81 86385  3659 21681 6158 82509
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  6346 6628 5792 1173192 5792 27394 1305413 4613     68 86226  3786 21600 6940 82947
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 6480 6678 6014 1177571 5956 26901 1307507 4726     53 86671  3624 21993 6450 84103
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 6570 6681 5631 1176703 6130 26847 1308788 4714    246 86138  3227 21975 6991 82341
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 6249 6379 5803 1176219 6070 26868 1307922 4910      4 85983  3405 22052 7002 80901
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 6417 6444 5834 1177173 6139 27150 1305889 4618    348 86365  3562 22277 7327 82474
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 6375 6701 5955 1174419 6053 26448 1301157 4641    166 86792  3492 21907 7318 81719
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 6577 6612 5527 1175665 6201 26878 1307997 4858     42 86947  3165 21979 5989 82569
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 6226 6607 5918 1174883 6330 26619 1303997 4775    227 86469  3803 21885 6925 82081
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 6424 6543 5653 1178900 6037 26952 1307912 4893      0 87495  3277 22063 6284 81864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 6347 6557 5906 1175830 6045 27466 1307045 4609      0 86418  3588 22111 6109 81881
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 6350 6513 5540 1176063 5985 26714 1306796 4527      0 86367  3333 22009 7020 81997
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  6389 6684 5840 1174931 6072 27112 1303004 4630     87 86479  3332 21557 7125 81998
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 6541 6592 5674 1178399 5991 26856 1305507 4390    156 87056  3218 22604 6574 81984
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 6545 6640 5985 1176533 6111 26732 1306624 4908      0 87210  3209 22108 6773 83700
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 6581 6736 5991 1176626 6146 27145 1307074 5043      0 87569  3596 22080 6633 82493
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 6886 6663 5847 1175948 6181 26858 1305696 4357      0 86804  3786 21495 7064 82019
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 6513 7023 6030 1176759 5988 26728 1303938 4778    275 87015  3752 22599 6634 82441
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 6550 6541 5768 1175252 5752 26906 1304609 4565      0 86518  3578 21636 6787 82912
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 6483 6728 6030 1177592 5880 26627 1306480 4588    366 86283  3374 21533 7031 82872
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 6501 6715 5890 1173650 6047 27262 1306588 4431    208 86415  3405 22126 7261 81687
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 6294 6588 5874 1174147 5917 27057 1307261 4870      0 87118  3525 21230 7286 82080
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 6533 6574 5774 1178459 6118 26733 1307347 5008     74 86978  3378 21625 6278 82533
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  6318 6507 5760 1173431 5834 26774 1302012 4767    162 86583  3197 21850 7149 81993
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 6339 6720 5871 1177746 5972 26751 1307260 4671    278 87387  3285 21333 6966 82504
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 6266 6380 6030 1176473 6001 26769 1304118 4731     82 87550  4008 22147 6720 81964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 6248 6641 5677 1177555 6251 26545 1308046 4776    308 87127  2967 21564 6032 82330
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 6409 6650 5896 1174834 5929 27053 1305364 4724     64 86438  3243 22032 6721 81763
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 6384 6702 5838 1175227 6093 26615 1304166 4744      0 86706  3490 22061 6540 82759
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 6550 6624 5853 1178045 5946 26952 1306014 4336      0 86793  3554 21809 6467 82533
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 6361 6454 5801 1176535 5894 26475 1305186 4635    150 86320  2862 21565 6689 81568
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 6406 6639 5892 1177751 6018 26755 1306932 4796    147 86500  3631 21329 6955 82986
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 6386 6424 5526 1177063 6339 27118 1307496 4789     25 87502  3338 23034 7617 81949
