Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_2_16_2  14.42 4.14 1.69 63.12 0.22 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_3  14.44 4.18 1.66 63.14 0.21 0.74 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_4  14.32 4.07 1.67 63.25 0.21 0.74 15.48 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_16_5  14.33 4.12 1.70 63.20 0.21 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_6  14.23 4.08 1.70 63.27 0.21 0.75 15.51 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_7  14.19 4.14 1.71 63.25 0.22 0.76 15.48 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_8  14.50 4.17 1.71 63.05 0.21 0.75 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_9  14.39 4.11 1.70 63.14 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_0  14.35 4.08 1.70 63.20 0.21 0.74 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_1  14.30 4.11 1.69 63.24 0.21 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_10 14.19 4.21 1.70 63.21 0.21 0.76 15.48 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_11 14.27 4.16 1.71 63.21 0.22 0.76 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_12 14.32 4.13 1.68 63.20 0.21 0.76 15.45 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_17_13 14.22 4.01 1.68 63.31 0.21 0.76 15.55 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_14 14.48 4.09 1.68 63.14 0.21 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_15 14.54 4.18 1.68 63.00 0.21 0.75 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_16 14.45 4.12 1.70 63.12 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_17 14.39 4.10 1.71 63.16 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_18 14.35 4.20 1.70 63.11 0.21 0.76 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_19 14.24 4.17 1.72 63.18 0.22 0.76 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_2  14.28 4.09 1.70 63.23 0.22 0.76 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_3  14.11 4.14 1.71 63.30 0.22 0.75 15.53 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_4  14.44 4.14 1.69 63.11 0.21 0.76 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_5  14.44 4.17 1.69 63.11 0.21 0.75 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_6  14.35 4.20 1.70 63.15 0.21 0.75 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_7  14.32 4.16 1.66 63.18 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_17_8  14.44 4.12 1.70 63.11 0.21 0.75 15.43 0.03 0.18 0.03 0.00
