Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_1_17_16 17.95 4.87 1.76 63.78 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_17 17.99 5.07 1.76 63.59 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_18 17.72 5.00 1.76 63.84 0.19 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_19 18.25 4.90 1.74 63.53 0.20 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_2  18.10 4.95 1.72 63.61 0.19 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_3  17.98 4.96 1.75 63.68 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_4  18.06 4.89 1.75 63.67 0.19 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_5  17.90 4.88 1.75 63.78 0.20 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_6  18.13 4.94 1.75 63.58 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_7  17.74 4.92 1.73 63.90 0.20 0.53 10.86 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_8  18.15 4.91 1.73 63.61 0.19 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_9  17.81 5.03 1.72 63.75 0.21 0.53 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_0  17.85 4.86 1.80 63.80 0.19 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_1  18.22 4.99 1.79 63.43 0.20 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_10 18.05 4.96 1.75 63.63 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_11 18.25 4.84 1.77 63.54 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_12 18.09 4.97 1.76 63.61 0.20 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_13 18.16 5.00 1.75 63.52 0.20 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_14 17.98 4.91 1.75 63.70 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_15 17.98 4.94 1.73 63.70 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_16 18.11 5.02 1.76 63.52 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_17 17.88 5.01 1.73 63.73 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_18 17.79 4.95 1.76 63.80 0.20 0.53 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_19 18.05 5.01 1.78 63.56 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_2  17.97 4.96 1.77 63.65 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_3  18.00 4.92 1.71 63.72 0.19 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_4  18.20 5.03 1.75 63.47 0.20 0.52 10.71 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_5  17.94 4.98 1.73 63.68 0.20 0.52 10.83 0.02 0.09 0.01 0.00
