Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_12_3.spx  10172 11344 15617 1674394 10010     0  46657 1859620  6887   621  2418 120632  1857 14871  7210 35277 11446 131085     0
SRM_1831_300s_20x20det_1_12_4.spx  10423 11468 15869 1671976 10175     0  43761 1852960  6604   217  2444 119508  2714 14725  7325 35309 11387 131633     0
SRM_1831_300s_20x20det_1_12_5.spx   9953 11746 15745 1673348  9740     0  45740 1855680  6533   513  2073 120027  2082 14644  7248 36342 11559 130842     0
SRM_1831_300s_20x20det_1_12_6.spx   9874 11451 15965 1675067 10134     4  51038 1855129  6520   542  2661 120530  2578 14935  6967 35563 11105 131299     0
SRM_1831_300s_20x20det_1_12_7.spx  10169 11436 15758 1677342  9888     0  46057 1856203  6158   351  2561 120392  2638 15687  6881 35131 11154 130389     0
SRM_1831_300s_20x20det_1_12_8.spx  10275 11451 15681 1674027 10191    42  50166 1853245  6607   144  2333 120402  1855 14791  7239 36585 10956 131032     0
SRM_1831_300s_20x20det_1_12_9.spx  10129 11671 16046 1674321  9715     0  46188 1857835  6675   370  2547 120131  2056 15049  6511 35413 11011 129065     0
SRM_1831_300s_20x20det_1_13_0.spx  10219 11531 16177 1674677 10139     0  50516 1856489  6572   296  2024 119653  2568 15468  6321 35782 12111 131682     0
SRM_1831_300s_20x20det_1_13_1.spx  10456 11442 15865 1673478 10222   147  47782 1857351  6648   721  2976 120160  1420 15127  6177 34482 10837 131097     0
SRM_1831_300s_20x20det_1_13_10.spx 10017 11555 15724 1679616  9970     0  46381 1858643  6479   797  2938 120949  2280 14585  6431 36175 11655 130360     0
SRM_1831_300s_20x20det_1_13_11.spx 10275 11521 15978 1679628  9982     0  41907 1859355  6808   385  2879 120927  1748 13576  6974 35689 11820 130642     0
SRM_1831_300s_20x20det_1_13_12.spx 10297 11777 15757 1665546  9969     0  41301 1852935  6347   362  2312 119661  2669 14608  7281 35494 12142 129453     0
SRM_1831_300s_20x20det_1_13_13.spx 10228 11335 16176 1679216  9999     0  45508 1858800  6610   539  2545 119771  2393 14389  7117 34962 10999 130989     0
SRM_1831_300s_20x20det_1_13_14.spx 10387 11643 16049 1675284 10201     0  53098 1856742  6280   638  2428 119620  1929 14532  6683 35347 11437 130504     0
