Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_3_3   1658587 1825828 120599
SRM_1831_300s_20x20det_1_3_4   1656016 1825485 120311
SRM_1831_300s_20x20det_1_3_5   1655527 1824099 120409
SRM_1831_300s_20x20det_1_3_6   1657163 1823710 119638
SRM_1831_300s_20x20det_1_3_7   1651915 1824820 119869
SRM_1831_300s_20x20det_1_3_8   1654413 1827220 119858
SRM_1831_300s_20x20det_1_3_9   1656520 1826098 119556
SRM_1831_300s_20x20det_1_4_0   1654336 1826258 120361
SRM_1831_300s_20x20det_1_4_1   1653625 1824162 120449
SRM_1831_300s_20x20det_1_4_10  1653472 1821571 120896
SRM_1831_300s_20x20det_1_4_11  1651919 1818902 119513
SRM_1831_300s_20x20det_1_4_12  1651404 1823062 119147
SRM_1831_300s_20x20det_1_4_13  1654348 1825869 120641
SRM_1831_300s_20x20det_1_4_14  1652894 1822923 119424
SRM_1831_300s_20x20det_1_4_15  1651442 1824225 119708
SRM_1831_300s_20x20det_1_4_16  1627093 1823629 118635
SRM_1831_300s_20x20det_1_4_17  1651572 1820924 119235
SRM_1831_300s_20x20det_1_4_18  1654364 1824508 120616
SRM_1831_300s_20x20det_1_4_19  1657515 1827949 119962
SRM_1831_300s_20x20det_1_4_2   1653789 1826662 120720
SRM_1831_300s_20x20det_1_4_3   1653170 1820547 118549
SRM_1831_300s_20x20det_1_4_4   1647756 1816787 119657
SRM_1831_300s_20x20det_1_4_5   1650331 1819977 119191
SRM_1831_300s_20x20det_1_4_6   1649219 1820140 119201
SRM_1831_300s_20x20det_1_4_7   1652594 1823216 119079
SRM_1831_300s_20x20det_1_4_8   1651746 1823933 119866
SRM_1831_300s_20x20det_1_4_9   1652429 1818207 118607
SRM_1831_300s_20x20det_1_5_0   1655593 1826743 120350
SRM_1831_300s_20x20det_1_5_1   1655472 1827992 119443
SRM_1831_300s_20x20det_1_5_10  1653154 1822665 118599
SRM_1831_300s_20x20det_1_5_11  1659465 1828809 120166
SRM_1831_300s_20x20det_1_5_12  1653206 1823934 120672
SRM_1831_300s_20x20det_1_5_13  1653604 1823720 119917
SRM_1831_300s_20x20det_1_5_14  1658016 1830607 119470
SRM_1831_300s_20x20det_1_5_15  1654630 1825512 120069
