Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_13_12  9520  9643  8323 1646035  9307 40394 1815199  6312   183 119377  4478 30877 11004 118527
SRM_1831_300s_20x20det_1_13_13  9371  9055  8676 1659931  9257 40304 1821103  6341     0 119510  4436 30070  9875 119604
SRM_1831_300s_20x20det_1_13_14  9607  9526  8607 1655538  9357 40239 1818633  6147   352 119641  4812 31010 10044 119563
SRM_1831_300s_20x20det_1_13_15  9239  9334  8345 1657650  9278 40966 1818377  6628    50 120033  4806 30776 10869 119845
SRM_1831_300s_20x20det_1_13_16  9261  9603  8488 1656729  9510 40861 1822478  6686   180 120083  4867 31844 10460 120531
SRM_1831_300s_20x20det_1_13_17  9503  9557  8333 1655075  9620 40657 1817457  6586   305 119420  4269 31913  9935 119569
SRM_1831_300s_20x20det_1_13_18  9802  9559  8680 1660352  9468 40658 1821871  6318   663 120251  4607 30844 10100 120384
SRM_1831_300s_20x20det_1_13_19  9595  9287  8389 1657724  9614 40250 1821865  6364   634 120781  4426 30849 10105 119662
SRM_1831_300s_20x20det_1_13_2   9477  9463  8662 1653104  9597 39981 1819400  6664    23 119969  4337 31388 10263 119545
SRM_1831_300s_20x20det_1_13_3   9472  9362  8386 1655530  9169 40612 1815141  6486   529 120144  4465 30615 11082 119034
SRM_1831_300s_20x20det_1_13_4   9426  9112  8450 1652883  9142 39899 1816262  6218   270 119117  4866 31782  9715 119133
SRM_1831_300s_20x20det_1_13_5   9474  9511  8587 1653255  9268 40211 1815559  6665   156 119058  5027 31106 10360 120073
SRM_1831_300s_20x20det_1_13_6   9371  9390  8408 1655443  9071 40374 1819001  6460    53 119840  4986 31429  9846 120238
SRM_1831_300s_20x20det_1_13_7   9666  9599  8675 1650064  9588 40714 1819104  6455   502 119774  4807 30622  9083 119840
SRM_1831_300s_20x20det_1_13_8   9387  9410  8961 1657052  9341 40053 1820011  6856   603 120115  4189 30749  9844 119329
SRM_1831_300s_20x20det_1_13_9   9445  9335  8614 1653052  9617 40613 1818360  6269     0 120265  5134 31577 10490 119639
SRM_1831_300s_20x20det_1_14_0   9346  9677  8611 1660205  9464 40500 1822129  6492   288 119597  4548 31601  9060 120685
SRM_1831_300s_20x20det_1_14_1   9167  9582  8658 1655121  9284 40380 1820350  6385   258 119409  4652 29845 10211 121013
SRM_1831_300s_20x20det_1_14_10  9373  9513  8681 1658353  9578 40247 1820395  6346    95 119296  5229 31397 10522 120714
SRM_1831_300s_20x20det_1_14_11  9280  9550  8779 1656399  9484 40155 1818437  6537     0 119501  4739 32012  9236 120450
SRM_1831_300s_20x20det_1_14_12  9415  9179  8456 1658897  9283 40606 1816831  6486    66 119952  5646 30115 10568 120082
SRM_1831_300s_20x20det_1_14_13  9548  9390  8483 1659604  9491 40460 1821051  6469     0 119359  5431 30574 10033 120158
SRM_1831_300s_20x20det_1_14_14  9361  9420  8186 1659442  9161 40664 1821096  6443   301 120396  4221 31551 10344 119581
SRM_1831_300s_20x20det_1_14_15  9411  9298  8559 1656151  9683 40460 1818138  6496   363 119914  4504 31490 10281 119339
SRM_1831_300s_20x20det_1_14_16  9374  9586  8623 1658065  9609 40097 1821192  6538    57 120035  4847 30793 10429 119216
SRM_1831_300s_20x20det_1_14_17  9605  9737  8502 1657610  9409 39542 1818430  6250   271 120524  4733 30679 10516 120267
SRM_1831_300s_20x20det_1_14_18  9480  9453  8630 1657050  9175 40617 1820254  6281    94 119308  5088 30776  9283 119707
SRM_1831_300s_20x20det_1_14_19  9183  9372  8387 1658218  9447 40968 1820320  6755     0 119895  4599 31393 10218 119781
