ROI net sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_18_19 1528989 1519192 104614
SRM_1831_300s_20x20det_1_18_2  1532042 1524494 104149
SRM_1831_300s_20x20det_1_18_3  1529581 1518473 103751
SRM_1831_300s_20x20det_1_18_4  1533533 1522021 104986
SRM_1831_300s_20x20det_1_18_5  1527094 1522909 103310
SRM_1831_300s_20x20det_1_18_6  1530488 1518988 104121
SRM_1831_300s_20x20det_1_18_7  1522918 1520104 103497
SRM_1831_300s_20x20det_1_18_8  1531905 1519492 103978
SRM_1831_300s_20x20det_1_18_9  1530578 1520533 104166
SRM_1831_300s_20x20det_1_19_0  1530614 1519535 105325
SRM_1831_300s_20x20det_1_19_1  1528877 1518865 104147
SRM_1831_300s_20x20det_1_19_10 1528370 1519368 104695
SRM_1831_300s_20x20det_1_19_11 1532875 1521156 103986
SRM_1831_300s_20x20det_1_19_12 1532103 1520368 104254
SRM_1831_300s_20x20det_1_19_13 1534782 1522841 104120
SRM_1831_300s_20x20det_1_19_14 1530551 1522593 104309
SRM_1831_300s_20x20det_1_19_15 1526499 1515907 104207
SRM_1831_300s_20x20det_1_19_16 1532060 1519742 104938
SRM_1831_300s_20x20det_1_19_17 1530251 1519069 103769
SRM_1831_300s_20x20det_1_19_18 1535008 1523271 104521
SRM_1831_300s_20x20det_1_19_19 1533293 1524740 104375
SRM_1831_300s_20x20det_1_19_2  1528964 1519906 104642
SRM_1831_300s_20x20det_1_19_3  1527502 1518784 104297
SRM_1831_300s_20x20det_1_19_4  1528994 1520783 103517
SRM_1831_300s_20x20det_1_19_5  1533435 1522491 103305
SRM_1831_300s_20x20det_1_19_6  1528802 1520113 103940
SRM_1831_300s_20x20det_1_19_7  1528586 1520236 104509
SRM_1831_300s_20x20det_1_19_8  1528321 1519390 104032
SRM_1831_300s_20x20det_1_19_9  1532501 1521676 104381
SRM_1831_300s_20x20det_1_2_0   1530180 1524408 105289
SRM_1831_300s_20x20det_1_2_1   1530173 1522527 104549
SRM_1831_300s_20x20det_1_2_10  1528820 1523297 104028
SRM_1831_300s_20x20det_1_2_11  1523950 1520437 104190
SRM_1831_300s_20x20det_1_2_12  1529178 1521313 103301
SRM_1831_300s_20x20det_1_2_13  1530956 1523508 105412
SRM_1831_300s_20x20det_1_2_14  1526816 1518455 103769
SRM_1831_300s_20x20det_1_2_15  1525667 1517814 103186
SRM_1831_300s_20x20det_1_2_16  1518313 1512803 104454
SRM_1831_300s_20x20det_1_2_17  1527182 1516854 103898
SRM_1831_300s_20x20det_1_2_18  1528149 1522444 104043
SRM_1831_300s_20x20det_1_2_19  1530102 1525364 104869
SRM_1831_300s_20x20det_1_2_2   1527014 1520572 104273
SRM_1831_300s_20x20det_1_2_3   1531485 1524511 103928
SRM_1831_300s_20x20det_1_2_4   1525781 1519061 103687
SRM_1831_300s_20x20det_1_2_5   1527582 1519467 103858
