ROI net sum

Spectrum               Na    Mg    Al      Si      K      Ca    Ti    Mn     Fe    Zn    Rb     Sr    Zr     Rh
168                 44992 46850 63767 5388466 144304 5366634 20373 10172 339942 54033 38264 111920 49325 367838
169                 45444 47125 64098 5392273 143366 5364429 20248  9878 340256 54354 36670 112191 46600 371683
170                 45667 48247 64447 5435277 144823 5399969 20595  9642 342729 52839 35727 112866 49102 392687
171                 45317 47468 64313 5439563 145329 5400637 20414 10234 344204 53350 36525 111821 47755 374824
172                 44850 46769 64197 5431222 144882 5409392 20754 10633 345082 54470 36290 113127 48366 370516
173                 44944 47079 64299 5432219 144208 5400407 20424 10972 343413 53911 35741 113273 48492 370260
174                 44912 46912 64249 5440132 144375 5403956 20462  9936 343002 53073 36994 113388 47381 367540
175                 44367 47071 64127 5432232 144847 5395312 20625  9516 343826 53792 36813 113231 48014 367870
176                 45068 47100 63576 5428228 144305 5397927 20989 11104 343004 54015 35267 114057 50115 367341
177                 44787 47071 63471 5424456 144318 5392043 20356 10287 343468 54402 37272 114080 49210 369066
178                 44673 46954 63693 5425073 144181 5395321 20189 10431 342883 54168 35854 113368 46984 366706
179                 44713 46709 63440 5421187 143153 5389299 19863  9165 342635 54518 36001 114017 47342 366634
180                 44835 46598 63722 5412404 143820 5385363 20132 10843 342197 53513 35547 113112 47130 366519
181                 44539 46990 63386 5414272 143902 5381307 19542  9984 343202 54038 37227 112521 46757 366626
182                 44766 46994 63671 5416323 144727 5384266 20202 10885 342548 53720 36108 112317 47470 367360
183                 44973 47024 63497 5409868 144200 5378980 20665 10395 343023 53241 36456 112929 48787 367153
184                 45497 46962 63943 5406602 144427 5379333 20502 10586 342109 55155 35935 112776 49302 368069
185                 44183 46502 63726 5401045 143951 5379437 20156  9991 341761 53808 36437 112928 49930 365554
186                 44108 46587 63461 5403293 143822 5373589 20228 10440 342870 53641 37377 112560 47044 363802
187                 44740 46504 62985 5401454 143055 5376111 20961 12388 342359 55004 37687 113111 48413 366832
188                 44767 46643 63536 5390881 143342 5367425 20536  9395 341239 53918 36189 112768 48831 365404
189                 45236 46734 63948 5388231 144383 5362588 20505  9926 339656 54117 35925 111659 47082 366691
190                 45270 47193 63930 5388881 143635 5361381 20491 10204 341801 54020 37407 112372 47688 371246
191                 46134 48113 64941 5445417 144360 5409983 20522 11253 344058 53784 35145 114061 47455 391876
192                 45105 47875 64520 5447339 146065 5412010 20718  9897 343232 52976 35846 113540 47533 375458
193                 44719 47409 63851 5443585 145413 5405501 20580 11037 343763 54905 37159 112542 47472 371076
194                 45173 46656 63338 5444948 144150 5410545 20250  9986 344864 52474 37499 113036 46600 369770
195                 44857 47288 63743 5418000 144418 5400303 20782 10492 344188 53893 35870 111751 47278 369101
196                 45228 47065 64437 5438952 144618 5407003 20455 10322 342986 53944 37107 114323 49002 367987
197                 45071 47182 64242 5440016 144760 5400396 20624 10097 344506 52900 37228 113839 47878 368124
198                 45282 47088 64118 5436852 144715 5401596 20336 10220 343295 53341 37176 113258 47637 368774
199                 45264 46711 64006 5427319 143909 5399514 20211 10456 342898 54867 36051 112398 48300 367012
200                 44871 47291 63621 5416707 143592 5387566 19925 11200 343749 54421 35936 111763 46959 367645
201                 44451 46875 63856 5415459 144356 5392063 20217 10078 342597 53488 36270 111495 49213 368296
202                 44951 46846 64017 5409136 143884 5373615 19537 10316 341741 54156 36581 111839 48136 367189
