ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_13_2  12688 13289 18139 1528500 40398 1522594 6244  3607 97107 15526 10589 32254 14411 104061
SRM_1831_300s_20x20det_1_13_3  12789 13154 17771 1530283 40859 1518630 5746  3189 96649 15108 10597 32109 14589 103427
SRM_1831_300s_20x20det_1_13_4  12856 13132 17914 1527436 40500 1519412 5614  3094 96552 15258 10350 32459 14145 103723
SRM_1831_300s_20x20det_1_13_5  12782 13281 17853 1528600 40768 1519130 5953  2992 96754 15780 10493 32302 14647 104049
SRM_1831_300s_20x20det_1_13_6  12663 13292 17897 1530249 40599 1521529 5968  3397 97023 15727 10790 32250 14372 104499
SRM_1831_300s_20x20det_1_13_7  12871 13344 17926 1524441 40820 1521499 5871  3863 97017 15609 11163 32139 13310 103513
SRM_1831_300s_20x20det_1_13_8  12672 13057 18190 1531280 40867 1522177 6092  3442 97133 15083 10812 31831 14104 103191
SRM_1831_300s_20x20det_1_13_9  12765 13266 17992 1528388 40813 1521437 5890  3643 97438 15920 10972 32404 14653 104531
SRM_1831_300s_20x20det_1_14_0  12767 13537 18073 1534402 40624 1522893 6000  3187 96196 15748  9821 32081 13536 105544
SRM_1831_300s_20x20det_1_14_1  12711 13461 18091 1528964 40590 1521864 6055  3876 97049 15642 10524 31318 14065 105158
SRM_1831_300s_20x20det_1_14_10 12745 13360 18031 1532298 40513 1522359 5733  3071 96187 15986 11051 32951 14372 104517
SRM_1831_300s_20x20det_1_14_11 12751 13415 18169 1530921 40654 1521813 6010  2743 96115 15283 10055 32241 13865 104411
SRM_1831_300s_20x20det_1_14_12 12743 13072 17908 1532748 40841 1521282 6046  3240 96894 16453 10259 31571 14271 104625
SRM_1831_300s_20x20det_1_14_13 12864 13279 17932 1534056 40680 1522824 5972  3650 96409 15976 10612 31832 14396 104574
SRM_1831_300s_20x20det_1_14_14 12593 13292 17877 1533496 40885 1523185 5911  3845 96861 15181 10994 32548 14457 104366
SRM_1831_300s_20x20det_1_14_15 12924 13476 18280 1530718 41049 1519851 6075  3152 96937 15199 10929 32493 14814 103197
SRM_1831_300s_20x20det_1_14_16 12743 13455 17823 1532344 40621 1523239 6126  3581 97062 15998 10360 32039 14388 103542
SRM_1831_300s_20x20det_1_14_17 12823 13438 17918 1531132 39867 1521432 5754  2883 97215 15496 10417 31794 14928 104120
SRM_1831_300s_20x20det_1_14_18 12888 13358 17962 1531278 40604 1522928 5810  3681 96330 16150 10072 31440 13600 103853
SRM_1831_300s_20x20det_1_14_19 12645 13225 17735 1532226 41153 1522581 6215  3334 96558 15482 10472 32383 14754 104135
SRM_1831_300s_20x20det_1_14_2  12700 13427 17986 1527520 40778 1522497 6299  3738 96535 15961 10148 31331 14711 103869
SRM_1831_300s_20x20det_1_14_3  12628 13350 17977 1531014 40797 1520705 5739  3561 96742 15220 10701 31957 14264 104593
SRM_1831_300s_20x20det_1_14_4  12834 13237 17856 1529268 41025 1520626 5823  3215 96194 15554 10546 32583 13574 103933
SRM_1831_300s_20x20det_1_14_5  12682 13270 18054 1530354 40356 1519127 6019  3912 96779 15309 11107 32648 14722 103664
SRM_1831_300s_20x20det_1_14_6  12628 13425 17771 1530901 40873 1521242 5838  3201 96475 15142 10373 31654 14256 104708
SRM_1831_300s_20x20det_1_14_7  12882 13373 17917 1525606 40566 1521198 5836  3159 96717 15797 10505 31931 14286 104112
SRM_1831_300s_20x20det_1_14_8  12885 13136 18190 1529554 41050 1519774 6361  3689 97046 15766 10884 31908 15385 103392
SRM_1831_300s_20x20det_1_14_9  12029 12984 17274 1480409 39952 1512912 5561  3419 96304 15584 10534 31768 14695 103684
SRM_1831_300s_20x20det_1_15_0  12908 13382 18139 1532787 40832 1522796 6050  3302 96799 15555 10487 32626 14496 105532
