ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn   Rb    Sr    Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 8731 9388 12692 1079128 28743 1084354 4408  2234 69713 11512 8029 23000 10096 72471
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 8874 9227 12739 1081124 29011 1086547 4215  2655 70086 11510 8504 22675 10180 72157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 8805 9216 12909 1079810 28792 1085941 4256  2453 69304 11340 8456 23306 10516 71723
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 8839 9341 13018 1080641 28922 1086968 4274  2419 69610 11791 7941 22835 10701 72339
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 8889 9223 12737 1081066 29022 1087571 4468  2570 70455 11359 8499 24038 11156 71655
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 8904 9249 12643 1079214 29168 1085727 4362  2791 70028 11849 7870 22663 10584 71922
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  8770 9231 12996 1075279 28844 1082331 4344  2438 68990 11359 7817 22941 10983 72075
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 8802 9329 12727 1079740 28878 1086501 4321  2610 69967 11209 8346 23122 10260 73220
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 9070 9240 12938 1081302 28949 1085756 4325  2576 69542 10861 7966 22857 10376 72061
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 8707 9433 12946 1080518 28808 1084674 4258  2601 69829 11432 8119 22418 10413 71769
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 8802 9139 12633 1073560 28861 1081254 4403  2361 69333 11400 8410 22910 10255 71597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 8882 9041 12531 1080651 28805 1085686 4523  2661 69731 11612 8181 22847 10448 71923
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 8609 9256 12670 1079974 28927 1085464 4341  2631 69861 11695 8463 22256  9640 71980
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 8840 9321 12800 1079651 28822 1086571 4004  2563 70323 11808 7883 22621 10341 71900
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 8767 9170 12729 1077469 29148 1087719 4282  2864 69848 11807 7886 22586  9715 71783
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 8854 9177 12398 1078593 28562 1083282 4173  2948 69933 11538 8203 23229  9896 72111
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 8796 9232 12886 1077634 28952 1084248 4130  2605 69457 11878 8174 22379 10768 71767


Mean value:                            8827 9280 12801 1079114 28945 1085764 4300  2534 69890 11518 8049 22812 10425 72050
Std. Abw.:                               99  100   151    1588   190    1495  146   254   411   298  321   374   402   430
Std. Abw. rel. [%]:                    1.12 1.08  1.18    0.15  0.66    0.14 3.41 10.03  0.59  2.59 3.99  1.64  3.86  0.60
Conf. interval:                          10   10    15     159    19     150   15    25    41    30   32    37    40    43
