ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca    Ti    Mn     Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_2_13_6  13761 14307 19838 1656630 44084 1649909  6155  4312 105500 16718 11765 34236 16541 110292
SRM_1831_300s_20x20det_2_13_7  13562 14220 19738 1656669 44259 1649942  6289  4117 105786 16023 11431 34885 14994 110262
SRM_1831_300s_20x20det_2_13_8  13945 14253 19665 1657527 44205 1649098  6496  3244 104574 16605 11186 34603 15387 111772
SRM_1831_300s_20x20det_2_13_9  13591 14264 19845 1659033 44072 1651541  6055  4682 105136 16613 11834 34432 15813 110654
SRM_1831_300s_20x20det_2_14_0  14052 14375 19798 1658728 43614 1650271  6191  3519 105190 16994 11981 34166 16314 111551
SRM_1831_300s_20x20det_2_14_1  13807 14389 19496 1658008 44418 1647104  6447  3483 104836 16793 12129 35146 15751 111372
SRM_1831_300s_20x20det_2_14_10 13555 14379 19782 1656947 44491 1648956  6403  4319 105084 16512 11464 34421 15765 110972
SRM_1831_300s_20x20det_2_14_11 13690 14465 19762 1657195 43958 1650080  6683  3815 106083 16998 10838 34688 15442 110880
SRM_1831_300s_20x20det_2_14_12  1337  1469  1936  162032  4272  161904   684   662  10748  2076  1738  3897  2173  11106
SRM_1831_300s_20x20det_2_14_13 13627 14351 19998 1661907 44228 1653506  6262  3794 105734 17551 11550 34725 16178 110878
SRM_1831_300s_20x20det_2_14_14 13462 14236 19515 1657532 44233 1646473  6443  3833 105190 17208 11116 33925 15891 110858
SRM_1831_300s_20x20det_2_14_15 13687 14215 19658 1658005 44301 1650391  6611  3605 104696 16999 11207 34746 15432 110635
SRM_1831_300s_20x20det_2_14_16 13676 14172 20191 1658445 44244 1648234  6470  3067 105389 16536 11506 33943 16214 110960
SRM_1831_300s_20x20det_2_14_17 13409 14282 19840 1656348 43992 1646717  6455  3534 105260 17065 11833 34172 15314 110356
SRM_1831_300s_20x20det_2_14_18 13793 13884 19616 1659867 44129 1649894  6347  3410 104463 17763 12017 34315 16026 111451
SRM_1831_300s_20x20det_2_14_19 13593 14213 19590 1657067 43949 1648744  6349  3343 104994 16113 11380 34809 15821 111139
